               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.045334,            0.023729,           0.0095721,             0.89289,             0.79909,             0.85442,             0.61937,            0.035445,            0.016697,            0.007675,           0.0067495,           0.0067495,           0.0067495
                  46,            0.045217,             0.02366,           0.0095208,             0.89582,             0.79758,             0.85447,             0.61967,             0.03542,             0.01668,           0.0076609,           0.0066257,           0.0066257,           0.0066257
                  47,            0.045198,             0.02359,           0.0095709,             0.89553,             0.79779,             0.85471,             0.62007,            0.035397,            0.016671,           0.0076488,           0.0065013,           0.0065013,           0.0065013
                  48,            0.045221,            0.023596,           0.0095051,             0.90212,             0.79437,             0.85512,             0.62099,            0.035367,            0.016652,           0.0076398,           0.0063764,           0.0063764,           0.0063764
                  49,            0.045055,            0.023646,           0.0094948,             0.90292,             0.79355,               0.855,             0.62163,            0.035344,            0.016643,           0.0076338,           0.0062512,           0.0062512,           0.0062512
                  50,            0.044918,            0.023601,           0.0094369,             0.90082,             0.79535,             0.85576,             0.62249,            0.035317,            0.016626,           0.0076252,           0.0061256,           0.0061256,           0.0061256
                  51,             0.04492,            0.023442,           0.0094364,             0.90269,             0.79423,             0.85565,             0.62296,             0.03529,            0.016613,           0.0076155,               0.006,               0.006,               0.006
                  52,            0.044834,            0.023395,           0.0093898,             0.90153,             0.79596,             0.85589,             0.62329,            0.035269,            0.016597,           0.0076064,           0.0058744,           0.0058744,           0.0058744
                  53,            0.044789,            0.023436,           0.0093749,              0.9038,             0.79568,             0.85637,             0.62378,            0.035248,            0.016586,           0.0076002,           0.0057488,           0.0057488,           0.0057488
                  54,            0.044743,            0.023438,           0.0093506,             0.89886,             0.79929,              0.8564,             0.62458,            0.035228,            0.016574,           0.0075931,           0.0056236,           0.0056236,           0.0056236
                  55,            0.044594,            0.023334,           0.0092873,             0.90078,             0.79913,             0.85673,             0.62495,            0.035202,             0.01656,           0.0075818,           0.0054987,           0.0054987,           0.0054987
                  56,            0.044555,            0.023309,           0.0092487,             0.90577,             0.79698,             0.85758,              0.6255,            0.035174,            0.016548,           0.0075693,           0.0053743,           0.0053743,           0.0053743
                  57,            0.044505,            0.023195,           0.0092522,             0.90959,             0.79454,             0.85759,             0.62595,            0.035147,             0.01653,           0.0075556,           0.0052505,           0.0052505,           0.0052505
                  58,            0.044427,              0.0232,           0.0092121,             0.90595,             0.79746,             0.85793,             0.62634,             0.03512,            0.016519,           0.0075416,           0.0051274,           0.0051274,           0.0051274
                  59,            0.044375,            0.023175,           0.0091902,             0.90547,             0.79764,             0.85803,             0.62697,            0.035088,            0.016507,           0.0075264,           0.0050052,           0.0050052,           0.0050052
                  60,            0.044279,            0.023194,           0.0091257,             0.90802,               0.797,             0.85828,              0.6277,            0.035059,            0.016492,           0.0075114,            0.004884,            0.004884,            0.004884
                  61,            0.044244,            0.023044,           0.0091516,             0.90922,              0.7964,             0.85845,              0.6281,             0.03503,            0.016474,           0.0074908,           0.0047639,           0.0047639,           0.0047639
                  62,            0.044191,            0.023128,           0.0090808,             0.90633,             0.79791,             0.85872,             0.62835,            0.035002,            0.016465,           0.0074705,            0.004645,            0.004645,            0.004645
                  63,            0.044058,            0.022956,            0.009095,             0.90397,             0.80004,             0.85914,             0.62918,            0.034976,            0.016453,           0.0074532,           0.0045275,           0.0045275,           0.0045275
                  64,            0.044021,            0.022954,            0.009058,             0.90696,             0.79915,             0.85977,             0.63024,            0.034948,            0.016435,           0.0074343,           0.0044114,           0.0044114,           0.0044114
                  65,             0.04393,            0.022937,           0.0090256,             0.91227,             0.79741,             0.86064,             0.63093,            0.034922,             0.01642,           0.0074183,           0.0042969,           0.0042969,           0.0042969
                  66,            0.043866,            0.022898,           0.0089706,             0.90456,             0.80238,             0.86071,              0.6314,            0.034895,            0.016403,           0.0074073,            0.004184,            0.004184,            0.004184
                  67,            0.043817,            0.022898,           0.0089849,             0.90947,             0.79926,             0.86111,             0.63188,            0.034869,            0.016387,           0.0073884,            0.004073,            0.004073,            0.004073
                  68,             0.04375,            0.022716,           0.0089253,             0.90058,             0.80546,             0.86111,             0.63219,            0.034843,            0.016373,            0.007374,           0.0039638,           0.0039638,           0.0039638
                  69,            0.043659,            0.022748,           0.0088899,             0.90374,             0.80456,             0.86146,             0.63278,            0.034816,            0.016356,           0.0073598,           0.0038567,           0.0038567,           0.0038567
                  70,            0.043697,            0.022848,           0.0088728,             0.90237,             0.80602,             0.86197,             0.63349,            0.034789,            0.016342,           0.0073455,           0.0037517,           0.0037517,           0.0037517
                  71,            0.043579,            0.022718,           0.0088311,             0.90615,             0.80537,             0.86267,             0.63387,            0.034765,             0.01633,           0.0073298,           0.0036489,           0.0036489,           0.0036489
                  72,            0.043438,            0.022669,           0.0088139,             0.90144,              0.8087,             0.86266,              0.6343,            0.034739,            0.016314,           0.0073175,           0.0035484,           0.0035484,           0.0035484
                  73,             0.04338,            0.022632,           0.0087581,             0.90595,             0.80704,              0.8632,             0.63521,            0.034714,            0.016302,           0.0073035,           0.0034503,           0.0034503,           0.0034503
                  74,            0.043411,            0.022629,           0.0087707,             0.90649,             0.80717,              0.8634,             0.63572,            0.034689,            0.016283,           0.0072902,           0.0033548,           0.0033548,           0.0033548
                  75,            0.043279,             0.02267,           0.0087147,              0.9053,             0.80877,             0.86401,             0.63576,            0.034663,             0.01627,            0.007276,           0.0032618,           0.0032618,           0.0032618
                  76,            0.043289,            0.022468,           0.0087234,             0.90834,             0.80824,             0.86459,             0.63641,             0.03464,            0.016256,           0.0072665,           0.0031716,           0.0031716,           0.0031716
                  77,            0.043115,            0.022392,           0.0086668,             0.91037,             0.80726,             0.86494,             0.63715,            0.034616,            0.016243,           0.0072558,           0.0030841,           0.0030841,           0.0030841
                  78,            0.043092,            0.022367,           0.0086448,             0.90812,              0.8093,             0.86539,             0.63752,            0.034596,            0.016231,           0.0072439,           0.0029996,           0.0029996,           0.0029996
                  79,            0.043056,            0.022388,            0.008602,              0.9128,             0.80725,             0.86563,             0.63769,            0.034571,            0.016219,           0.0072352,           0.0029179,           0.0029179,           0.0029179
                  80,            0.042978,            0.022459,           0.0085808,             0.91254,             0.80856,             0.86603,             0.63816,            0.034547,            0.016202,           0.0072226,           0.0028394,           0.0028394,           0.0028394
                  81,            0.043047,            0.022428,           0.0085757,             0.91499,             0.80748,             0.86595,             0.63871,            0.034526,            0.016191,           0.0072106,           0.0027639,           0.0027639,           0.0027639
                  82,            0.042934,            0.022377,            0.008512,             0.91662,             0.80713,             0.86633,             0.63921,            0.034508,            0.016171,           0.0072019,           0.0026917,           0.0026917,           0.0026917
                  83,            0.042871,             0.02231,           0.0085436,             0.91446,             0.80905,             0.86671,             0.64001,            0.034485,            0.016161,           0.0071894,           0.0026227,           0.0026227,           0.0026227
                  84,            0.042755,            0.022261,           0.0084944,             0.91736,             0.80856,             0.86693,              0.6402,            0.034464,            0.016146,           0.0071781,            0.002557,            0.002557,            0.002557
                  85,            0.042791,            0.022264,           0.0084822,             0.91681,             0.80991,             0.86701,             0.64052,            0.034442,            0.016133,            0.007168,           0.0024948,           0.0024948,           0.0024948
                  86,            0.042686,            0.022227,           0.0084645,             0.91935,             0.80862,             0.86735,             0.64104,            0.034421,            0.016123,           0.0071559,            0.002436,            0.002436,            0.002436
                  87,            0.042621,            0.022181,           0.0084068,             0.92082,             0.80728,             0.86737,             0.64156,            0.034396,            0.016107,           0.0071417,           0.0023807,           0.0023807,           0.0023807
                  88,            0.042597,            0.022152,           0.0084267,             0.92178,             0.80703,             0.86798,             0.64189,            0.034371,            0.016094,           0.0071298,            0.002329,            0.002329,            0.002329
                  89,            0.042525,            0.022054,           0.0083455,             0.92101,             0.80813,             0.86811,             0.64224,             0.03435,            0.016084,            0.007122,           0.0022809,           0.0022809,           0.0022809
                  90,            0.042548,            0.022132,           0.0083584,             0.91135,             0.81503,             0.86855,             0.64268,            0.034329,            0.016067,           0.0071093,           0.0022365,           0.0022365,           0.0022365
                  91,            0.042473,            0.022026,           0.0083722,             0.91001,             0.81635,             0.86906,             0.64332,            0.034306,             0.01606,           0.0071008,           0.0021958,           0.0021958,           0.0021958
                  92,            0.042433,            0.022097,           0.0083154,             0.92204,             0.80946,              0.8697,             0.64404,            0.034284,            0.016048,           0.0070902,           0.0021588,           0.0021588,           0.0021588
                  93,            0.042406,            0.022029,           0.0083444,             0.92277,             0.80924,             0.86984,             0.64424,            0.034264,            0.016034,           0.0070833,           0.0021257,           0.0021257,           0.0021257
                  94,            0.042483,            0.022119,           0.0083539,             0.92232,             0.81006,             0.86997,             0.64473,            0.034246,            0.016026,           0.0070751,           0.0020963,           0.0020963,           0.0020963
                  95,            0.042463,            0.022036,           0.0083431,                0.92,             0.81157,             0.87032,              0.6452,            0.034224,             0.01601,           0.0070661,           0.0020709,           0.0020709,           0.0020709
                  96,            0.042429,            0.021974,           0.0083303,             0.91755,               0.814,             0.87073,             0.64551,            0.034205,            0.016003,           0.0070571,           0.0020492,           0.0020492,           0.0020492
                  97,            0.042317,            0.021902,           0.0083043,             0.91734,             0.81396,             0.87071,             0.64599,            0.034186,            0.015991,           0.0070504,           0.0020315,           0.0020315,           0.0020315
                  98,             0.04237,            0.021935,           0.0083022,             0.91829,             0.81282,             0.87047,             0.64617,            0.034166,            0.015982,           0.0070416,           0.0020178,           0.0020178,           0.0020178
                  99,            0.042401,            0.022048,           0.0082905,             0.92057,             0.81232,              0.8713,              0.6467,            0.034146,            0.015971,           0.0070302,           0.0020079,           0.0020079,           0.0020079
